nodes,x,y,time
622,14,16,1979-01-06T12:50:51.100Z
1009,21,26,1979-01-14T19:20:30.200Z
314,10,8,1979-01-17T02:12:50.900Z
933,21,24,1979-01-21T20:20:45.500Z
1008,20,26,1979-01-25T00:51:24.000Z
971,21,25,1979-01-29T11:42:06.300Z
1008,20,26,1979-02-07T16:13:46.200Z
1008,20,26,1979-02-10T23:52:20.600Z
1008,20,26,1979-02-26T15:54:56.000Z
1347,17,35,1979-02-28T12:04:25.900Z
499,5,13,1979-02-28T15:03:47.900Z
992,4,26,1979-03-01T02:41:12.600Z
461,5,12,1979-03-01T14:33:15.200Z
1008,20,26,1979-03-02T21:24:22.200Z
461,5,12,1979-03-09T08:40:11.400Z
423,5,11,1979-03-09T09:17:21.700Z
460,4,12,1979-03-10T00:28:54.600Z
1008,20,26,1979-03-11T12:16:19.500Z
88,12,2,1979-03-16T07:03:34.100Z
1112,10,29,1979-03-20T19:03:59.700Z
1008,20,26,1979-03-21T14:32:19.100Z
1359,29,35,1979-03-22T11:35:14.400Z
277,11,7,1979-03-26T16:07:00.600Z
736,14,19,1979-03-27T09:09:16.900Z
930,18,24,1979-03-28T04:18:04.800Z
1508,26,39,1979-03-30T11:45:41.100Z
1508,26,39,1979-03-30T12:10:06.300Z
1008,20,26,1979-04-05T03:50:39.500Z
960,10,25,1979-04-05T05:39:30.500Z
276,10,7,1979-04-06T02:41:20.800Z
276,10,7,1979-04-30T01:04:20.400Z
933,21,24,1979-05-04T07:24:40.000Z
1127,25,29,1979-05-05T20:04:57.700Z
1127,25,29,1979-05-05T20:08:38.300Z
1009,21,26,1979-05-11T19:05:52.800Z
82,6,2,1979-05-13T22:41:53.600Z
812,14,21,1979-05-16T12:43:03.800Z
970,20,25,1979-05-21T20:21:40.400Z
1074,10,28,1979-05-24T18:38:25.200Z
461,5,12,1979-05-25T04:31:34.800Z
850,14,22,1979-05-29T12:59:01.800Z
276,10,7,1979-06-02T01:32:51.000Z
1068,4,28,1979-06-06T00:33:11.300Z
1008,20,26,1979-06-10T05:54:11.600Z
1030,4,27,1979-06-12T18:54:27.100Z
79,3,2,1979-06-12T21:32:51.500Z
202,12,5,1979-06-16T18:06:58.400Z
1032,6,27,1979-06-23T02:19:59.700Z
1008,20,26,1979-06-25T12:48:10.100Z
1008,20,26,1979-06-26T21:10:46.700Z
1027,1,27,1979-07-02T00:52:11.000Z
989,1,26,1979-07-02T13:45:49.700Z
971,21,25,1979-07-04T14:28:40.300Z
1122,20,29,1979-07-07T07:00:55.100Z
1008,20,26,1979-07-18T13:02:15.700Z
1008,20,26,1979-07-20T20:06:47.400Z
1165,25,30,1979-08-03T11:43:57.600Z
933,21,24,1979-08-09T06:48:19.100Z
1009,21,26,1979-08-17T20:44:00.600Z
585,15,15,1979-08-24T17:55:39.600Z
773,13,20,1979-09-02T02:00:11.800Z
812,14,21,1979-09-06T03:57:53.600Z
1009,21,26,1979-09-07T09:44:02.800Z
1008,20,26,1979-09-11T10:56:59.800Z
775,15,20,1979-09-11T14:02:57.800Z
1008,20,26,1979-09-12T19:45:29.700Z
197,7,5,1979-09-16T09:09:09.600Z
1008,20,26,1979-09-22T05:57:42.200Z
1225,9,32,1979-09-29T03:17:16.200Z
1008,20,26,1979-09-30T04:12:29.100Z
127,13,3,1979-10-05T16:43:16.200Z
1008,20,26,1979-10-06T15:07:24.100Z
1082,18,28,1979-10-31T00:06:13.200Z
1008,20,26,1979-10-31T06:01:51.300Z
1008,20,26,1979-11-02T09:33:26.700Z
998,10,26,1979-11-12T07:57:11.200Z
202,12,5,1979-11-13T06:22:02.600Z
1009,21,26,1979-11-14T22:46:35.400Z
815,17,21,1979-11-21T18:49:54.700Z
811,13,21,1979-11-23T23:40:29.800Z
1008,20,26,1979-11-26T10:04:02.600Z
117,3,3,1979-11-26T21:05:47.700Z
198,8,5,1979-12-04T12:47:58.400Z
538,6,14,1979-12-12T07:59:03.300Z
576,6,15,1979-12-12T08:14:50.300Z
577,7,15,1979-12-12T08:32:04.600Z
654,8,17,1979-12-12T08:33:52.400Z
616,8,16,1979-12-12T08:42:17.600Z
614,6,16,1979-12-12T11:53:49.400Z
538,6,14,1979-12-12T12:03:45.100Z
654,8,17,1979-12-12T14:59:01.900Z
731,9,19,1979-12-12T17:49:05.600Z
576,6,15,1979-12-12T18:36:30.400Z
615,7,16,1979-12-12T20:08:59.200Z
576,6,15,1979-12-12T20:18:32.200Z
692,8,18,1979-12-12T23:51:32.100Z
614,6,16,1979-12-13T01:46:35.400Z
690,6,18,1979-12-13T02:01:36.700Z
878,4,23,1979-12-13T02:43:37.900Z
577,7,15,1979-12-13T04:20:33.800Z
577,7,15,1979-12-13T04:46:45.600Z
615,7,16,1979-12-13T05:37:47.800Z
537,5,14,1979-12-13T08:05:29.400Z
691,7,18,1979-12-13T12:42:03.900Z
652,6,17,1979-12-13T13:16:53.100Z
614,6,16,1979-12-13T19:33:49.900Z
576,6,15,1979-12-13T20:41:52.700Z
615,7,16,1979-12-13T21:34:52.000Z
615,7,16,1979-12-13T22:01:13.000Z
576,6,15,1979-12-13T22:40:30.600Z
614,6,16,1979-12-14T01:25:29.700Z
615,7,16,1979-12-14T06:14:12.000Z
615,7,16,1979-12-14T06:16:05.800Z
691,7,18,1979-12-14T06:20:59.700Z
615,7,16,1979-12-14T07:13:34.200Z
652,6,17,1979-12-14T08:42:23.700Z
614,6,16,1979-12-14T09:36:24.800Z
692,8,18,1979-12-15T03:51:43.400Z
692,8,18,1979-12-15T04:32:13.200Z
690,6,18,1979-12-15T07:35:25.000Z
576,6,15,1979-12-15T10:55:31.600Z
653,7,17,1979-12-15T15:23:32.100Z
654,8,17,1979-12-15T20:01:50.900Z
652,6,17,1979-12-15T20:26:22.700Z
653,7,17,1979-12-15T20:37:18.500Z
615,7,16,1979-12-15T23:27:54.100Z
653,7,17,1979-12-16T08:17:23.400Z
652,6,17,1979-12-16T08:27:03.400Z
653,7,17,1979-12-16T15:43:10.000Z
652,6,17,1979-12-17T02:16:48.800Z
654,8,17,1979-12-17T06:10:48.100Z
615,7,16,1979-12-17T10:58:10.000Z
692,8,18,1979-12-17T12:40:10.300Z
653,7,17,1979-12-18T07:46:51.400Z
613,5,16,1979-12-18T08:43:17.900Z
652,6,17,1979-12-18T17:11:35.100Z
612,4,16,1979-12-18T17:34:33.000Z
614,6,16,1979-12-19T00:50:29.300Z
615,7,16,1979-12-19T22:49:40.300Z
693,9,18,1979-12-20T02:08:34.000Z
614,6,16,1979-12-20T18:19:42.900Z
197,7,5,1979-12-21T00:26:06.900Z
616,8,16,1979-12-21T01:49:19.400Z
652,6,17,1979-12-21T03:04:57.000Z
615,7,16,1979-12-21T06:35:25.300Z
652,6,17,1979-12-21T10:00:05.600Z
653,7,17,1979-12-21T19:43:32.300Z
615,7,16,1979-12-21T22:57:47.500Z
694,10,18,1979-12-21T23:02:14.300Z
730,8,19,1979-12-22T15:21:52.900Z
614,6,16,1979-12-23T08:29:43.700Z
693,9,18,1979-12-23T08:47:20.400Z
614,6,16,1979-12-24T06:22:26.200Z
615,7,16,1979-12-24T12:46:04.700Z
578,8,15,1979-12-25T03:25:45.100Z
576,6,15,1979-12-25T14:55:57.900Z
654,8,17,1979-12-26T05:50:59.900Z
731,9,19,1979-12-28T15:06:59.800Z
577,7,15,1979-12-29T22:08:03.600Z
652,6,17,1979-12-30T02:09:34.600Z
690,6,18,1979-12-30T16:12:23.200Z
652,6,17,1979-12-30T16:15:31.600Z
691,7,18,1979-12-31T04:21:02.300Z
731,9,19,1979-12-31T11:58:39.400Z
653,7,17,1979-12-31T12:30:17.600Z
577,7,15,1979-12-31T23:07:23.400Z
1008,20,26,1980-01-01T14:46:19.200Z
652,6,17,1980-01-01T23:55:13.000Z
652,6,17,1980-01-02T19:04:02.900Z
691,7,18,1980-01-03T03:37:18.700Z
653,7,17,1980-01-03T04:48:21.100Z
614,6,16,1980-01-05T04:09:19.600Z
654,8,17,1980-01-06T04:00:13.500Z
1008,20,26,1980-01-06T19:14:26.100Z
654,8,17,1980-01-06T20:14:12.900Z
654,8,17,1980-01-07T00:33:35.600Z
349,7,9,1980-01-13T00:29:07.100Z
692,8,18,1980-01-17T19:48:23.600Z
1082,18,28,1980-01-18T23:37:32.300Z
840,4,22,1980-01-19T16:05:47.000Z
48,10,1,1980-01-22T01:08:05.500Z
614,6,16,1980-01-26T15:27:15.000Z
577,7,15,1980-01-28T04:39:04.100Z
653,7,17,1980-01-31T07:31:43.000Z
577,7,15,1980-02-09T11:14:36.800Z
614,6,16,1980-02-11T15:56:20.300Z
1246,30,32,1980-02-12T02:29:14.500Z
740,18,19,1980-02-12T08:18:50.100Z
694,10,18,1980-02-13T11:13:10.900Z
234,6,6,1980-02-18T13:03:24.500Z
1049,23,27,1980-02-21T03:44:24.900Z
615,7,16,1980-02-21T10:42:57.000Z
576,6,15,1980-02-23T14:13:03.000Z
11,11,0,1980-02-24T11:00:50.600Z
653,7,17,1980-03-03T09:13:55.900Z
930,18,24,1980-03-06T13:42:08.100Z
1008,20,26,1980-03-09T01:21:26.500Z
1044,18,27,1980-03-09T03:34:50.600Z
1008,20,26,1980-03-11T11:50:35.100Z
1008,20,26,1980-03-14T13:23:47.400Z
498,4,13,1980-03-16T03:26:11.500Z
1009,21,26,1980-03-19T05:47:19.700Z
3,3,0,1980-03-20T14:32:37.900Z
1009,21,26,1980-03-23T06:56:31.000Z
971,21,25,1980-03-28T13:33:15.900Z
276,10,7,1980-03-28T15:39:39.000Z
968,18,25,1980-04-02T18:13:44.300Z
614,6,16,1980-04-15T10:27:54.500Z
576,6,15,1980-04-17T05:38:53.800Z
198,8,5,1980-04-20T11:26:22.900Z
1284,30,33,1980-04-21T07:33:38.700Z
1008,20,26,1980-04-27T10:25:03.900Z
971,21,25,1980-05-01T05:04:07.800Z
1048,22,27,1980-05-02T01:47:06.900Z
1113,11,29,1980-05-02T23:08:40.900Z
998,10,26,1980-05-10T04:51:52.000Z
574,4,15,1980-05-11T09:25:59.200Z
691,7,18,1980-05-12T13:56:11.200Z
349,7,9,1980-05-16T02:52:54.300Z
574,4,15,1980-05-16T05:33:39.100Z
1009,21,26,1980-05-21T00:48:50.200Z
1008,20,26,1980-05-22T11:58:37.100Z
971,21,25,1980-05-23T03:16:42.000Z
891,17,23,1980-05-25T15:43:29.400Z
1009,21,26,1980-05-26T10:33:37.100Z
1008,20,26,1980-05-27T01:45:48.000Z
615,7,16,1980-05-31T11:31:37.900Z
971,21,25,1980-06-14T03:55:52.600Z
779,19,20,1980-06-16T12:06:23.700Z
741,19,19,1980-06-19T23:05:34.900Z
741,19,19,1980-06-20T01:05:15.800Z
1081,17,28,1980-06-22T09:17:57.900Z
616,8,16,1980-06-24T00:15:53.400Z
774,14,20,1980-06-25T12:04:56.900Z
1009,21,26,1980-07-05T09:27:51.700Z
615,7,16,1980-07-06T18:03:26.100Z
501,7,13,1980-07-06T18:10:09.300Z
773,13,20,1980-07-07T16:48:44.500Z
652,6,17,1980-07-15T05:30:16.900Z
1001,13,26,1980-07-16T13:06:18.700Z
652,6,17,1980-07-19T18:09:59.800Z
654,8,17,1980-07-22T04:04:42.000Z
199,9,5,1980-07-23T08:43:55.200Z
1008,20,26,1980-07-25T07:25:55.200Z
1008,20,26,1980-07-28T17:04:08.300Z
276,10,7,1980-07-29T11:43:44.600Z
615,7,16,1980-08-01T10:03:23.800Z
652,6,17,1980-08-09T19:46:07.400Z
1008,20,26,1980-08-15T21:30:45.700Z
233,5,6,1980-08-18T15:07:52.600Z
233,5,6,1980-08-20T20:32:08.200Z
1074,10,28,1980-08-23T01:34:43.500Z
1008,20,26,1980-08-23T04:28:13.600Z
1074,10,28,1980-08-24T00:52:46.700Z
1113,11,29,1980-08-24T01:01:07.400Z
730,8,19,1980-08-30T19:38:38.900Z
730,8,19,1980-08-31T03:17:42.900Z
730,8,19,1980-08-31T12:04:57.400Z
691,7,18,1980-08-31T20:02:00.800Z
1074,10,28,1980-09-03T05:34:41.500Z
576,6,15,1980-09-03T10:50:34.100Z
237,9,6,1980-09-03T18:48:36.800Z
693,9,18,1980-09-03T22:12:39.100Z
1008,20,26,1980-09-10T16:20:28.900Z
1008,20,26,1980-09-14T08:29:35.000Z
275,9,7,1980-09-14T23:41:58.100Z
691,7,18,1980-09-16T12:27:46.800Z
314,10,8,1980-10-08T22:01:34.800Z
234,6,6,1980-10-21T12:55:28.700Z
971,21,25,1980-10-25T07:40:09.200Z
1042,16,27,1980-10-28T23:20:00.000Z
1008,20,26,1980-10-30T22:07:09.800Z
653,7,17,1980-10-31T05:10:51.400Z
44,6,1,1980-11-02T18:21:15.600Z
736,14,19,1980-11-17T01:24:56.000Z
1358,28,35,1980-11-17T16:50:20.700Z
1009,21,26,1980-11-18T16:34:38.000Z
971,21,25,1980-11-24T21:41:09.700Z
1086,22,28,1980-11-26T17:35:39.100Z
960,10,25,1980-11-26T23:10:41.700Z
425,7,11,1980-11-27T22:04:20.900Z
1324,32,34,1980-12-02T07:44:57.700Z
926,14,24,1980-12-03T08:51:40.900Z
1190,12,31,1980-12-13T10:10:00.600Z
1009,21,26,1980-12-15T05:05:39.300Z
1009,21,26,1980-12-16T18:45:18.400Z
1077,13,28,1980-12-17T00:20:02.000Z
1040,14,27,1980-12-19T10:39:03.600Z
1237,21,32,1980-12-20T17:00:19.800Z
40,2,1,1980-12-25T00:51:04.500Z
932,20,24,1980-12-26T01:32:07.900Z
576,6,15,1981-01-01T16:27:36.100Z
577,7,15,1981-01-02T07:37:01.300Z
577,7,15,1981-01-03T01:23:40.000Z
577,7,15,1981-01-07T07:01:39.800Z
577,7,15,1981-01-07T09:05:57.800Z
577,7,15,1981-01-10T00:05:19.200Z
1008,20,26,1981-01-16T22:17:22.200Z
1008,20,26,1981-01-23T23:50:00.900Z
539,7,14,1981-01-30T07:58:25.200Z
878,4,23,1981-01-30T22:36:36.200Z
652,6,17,1981-01-30T23:57:51.200Z
1008,20,26,1981-01-31T04:21:28.900Z
692,8,18,1981-02-07T01:21:34.730Z
277,11,7,1981-02-18T23:24:56.550Z
971,21,25,1981-02-19T14:41:46.840Z
1001,13,26,1981-02-20T20:19:22.000Z
1009,21,26,1981-02-20T20:45:11.300Z
971,21,25,1981-02-25T18:43:53.410Z
1001,13,26,1981-02-25T20:04:30.240Z
615,7,16,1981-03-04T04:33:23.400Z
233,5,6,1981-03-09T22:03:04.070Z
971,21,25,1981-03-16T21:01:25.390Z
1009,21,26,1981-03-19T22:18:36.470Z
276,10,7,1981-03-26T02:46:46.080Z
40,2,1,1981-04-13T14:03:01.550Z
1008,20,26,1981-04-20T21:57:47.750Z
1009,21,26,1981-04-24T01:09:44.500Z
126,12,3,1981-04-25T14:35:47.730Z
1001,13,26,1981-04-27T16:15:43.330Z
50,12,1,1981-04-27T16:22:33.770Z
1001,13,26,1981-04-27T18:50:38.720Z
1001,13,26,1981-04-27T22:53:15.510Z
277,11,7,1981-04-29T17:51:45.350Z
653,7,17,1981-05-01T16:57:53.200Z
231,3,6,1981-05-06T21:34:48.860Z
231,3,6,1981-05-06T21:36:06.810Z
312,8,8,1981-05-13T03:58:11.040Z
734,12,19,1981-05-13T04:38:25.330Z
1037,11,27,1981-05-16T09:04:15.350Z
811,13,21,1981-05-20T03:01:47.840Z
546,14,14,1981-05-22T08:26:14.440Z
1009,21,26,1981-05-24T01:08:53.600Z
159,7,4,1981-05-26T04:55:30.220Z
1045,19,27,1981-05-30T03:06:53.800Z
971,21,25,1981-05-30T07:37:34.350Z
79,3,2,1981-06-05T23:34:54.580Z
1008,20,26,1981-06-13T18:39:23.000Z
502,8,13,1981-06-19T21:03:45.770Z
12,12,0,1981-06-21T23:58:59.860Z
971,21,25,1981-06-22T19:33:33.520Z
197,7,5,1981-06-24T13:25:35.260Z
156,4,4,1981-06-27T21:54:14.650Z
651,5,17,1981-07-07T10:25:46.730Z
919,7,24,1981-07-22T07:20:45.770Z
581,11,15,1981-07-23T02:52:16.610Z
203,13,5,1981-07-29T22:43:55.020Z
1079,15,28,1981-07-30T05:24:08.650Z
849,13,22,1981-07-30T07:05:01.720Z
735,13,19,1981-08-05T12:58:27.460Z
921,9,24,1981-08-06T21:25:20.930Z
691,7,18,1981-08-12T00:47:32.000Z
615,7,16,1981-08-16T04:23:08.670Z
79,3,2,1981-08-19T14:29:43.560Z
933,21,24,1981-08-21T21:46:44.790Z
1119,17,29,1981-08-23T01:44:49.110Z
1120,18,29,1981-08-23T05:23:58.270Z
1000,12,26,1981-08-25T16:54:38.800Z
1001,13,26,1981-08-25T17:29:07.260Z
1001,13,26,1981-08-25T17:40:23.360Z
1001,13,26,1981-08-26T23:59:32.200Z
1000,12,26,1981-08-27T13:52:40.810Z
1000,12,26,1981-08-27T14:05:45.570Z
1001,13,26,1981-08-27T16:07:54.030Z
1000,12,26,1981-08-27T17:45:20.320Z
1001,13,26,1981-08-28T10:21:37.290Z
1039,13,27,1981-08-28T10:23:53.840Z
1001,13,26,1981-08-30T20:50:08.890Z
1001,13,26,1981-08-31T06:03:15.010Z
1008,20,26,1981-09-17T05:37:18.770Z
1008,20,26,1981-09-25T09:33:28.190Z
1008,20,26,1981-09-26T21:57:01.060Z
277,11,7,1981-10-04T20:03:53.010Z
971,21,25,1981-10-05T19:31:38.260Z
201,11,5,1981-10-07T20:03:47.650Z
275,9,7,1981-10-13T04:33:07.820Z
653,7,17,1981-10-17T12:28:48.520Z
1124,22,29,1981-10-18T04:31:02.740Z
651,5,17,1981-10-20T07:12:30.270Z
1008,20,26,1981-10-24T04:36:50.910Z
1009,21,26,1981-10-26T09:05:28.680Z
614,6,16,1981-10-27T21:00:17.830Z
971,21,25,1981-11-01T14:46:52.730Z
274,8,7,1981-11-03T07:02:38.570Z
615,7,16,1981-11-05T03:55:06.900Z
921,9,24,1981-11-11T17:31:06.370Z
237,9,6,1981-11-19T01:13:41.900Z
971,21,25,1981-12-05T06:48:58.250Z
276,10,7,1981-12-06T04:31:07.600Z
1203,25,31,1981-12-08T22:53:12.390Z
1009,21,26,1981-12-13T21:40:36.190Z
614,6,16,1981-12-13T23:27:52.390Z
1008,20,26,1981-12-17T12:54:03.240Z
970,20,25,1981-12-25T08:28:47.170Z
123,9,3,1981-12-25T18:54:23.390Z
962,12,25,1981-12-27T10:13:32.540Z
1009,21,26,1981-12-27T20:21:05.360Z
652,6,17,1982-01-08T02:35:57.630Z
771,11,20,1982-01-13T16:36:07.690Z
1035,9,27,1982-01-14T03:41:19.450Z
1205,27,31,1982-01-15T03:59:19.670Z
731,9,19,1982-01-17T12:46:37.090Z
652,6,17,1982-01-17T14:02:34.390Z
892,18,23,1982-01-17T14:52:13.760Z
315,11,8,1982-01-22T22:43:56.180Z
960,10,25,1982-02-01T21:34:15.450Z
235,7,6,1982-02-03T00:37:48.330Z
692,8,18,1982-02-04T05:04:08.200Z
10,10,0,1982-02-04T18:57:43.610Z
1009,21,26,1982-02-11T08:40:45.370Z
1008,20,26,1982-02-12T17:29:45.660Z
735,13,19,1982-02-13T01:09:22.160Z
1008,20,26,1982-02-16T08:32:08.300Z
971,21,25,1982-02-22T02:06:13.640Z
1008,20,26,1982-02-23T20:07:29.480Z
422,4,11,1982-02-27T12:38:35.490Z
314,10,8,1982-03-06T01:27:31.460Z
702,18,18,1982-03-08T04:16:32.730Z
1009,21,26,1982-03-09T12:21:52.230Z
1008,20,26,1982-03-09T15:04:23.620Z
883,9,23,1982-03-16T08:04:57.910Z
1031,5,27,1982-03-31T05:51:07.480Z
1009,21,26,1982-04-05T01:12:40.170Z
198,8,5,1982-04-07T11:52:03.050Z
691,7,18,1982-04-11T00:53:08.330Z
160,8,4,1982-04-11T12:21:29.990Z
199,9,5,1982-04-17T04:29:24.310Z
1008,20,26,1982-04-21T10:57:18.340Z
730,8,19,1982-04-23T08:11:13.430Z
1008,20,26,1982-04-29T01:35:21.110Z
1008,20,26,1982-05-01T14:59:05.660Z
1001,13,26,1982-05-05T01:16:02.320Z
275,9,7,1982-05-08T01:25:15.210Z
234,6,6,1982-05-08T06:19:02.080Z
997,9,26,1982-05-12T13:06:51.720Z
623,15,16,1982-05-14T01:18:47.960Z
275,9,7,1982-05-14T06:21:59.930Z
653,7,17,1982-05-14T09:46:34.550Z
1008,20,26,1982-05-15T03:48:04.100Z
275,9,7,1982-05-20T12:10:50.200Z
970,20,25,1982-05-24T23:20:20.600Z
1128,26,29,1982-05-25T06:59:55.280Z
652,6,17,1982-05-26T11:23:53.950Z
1165,25,30,1982-05-27T11:26:06.510Z
1008,20,26,1982-06-01T19:10:29.320Z
614,6,16,1982-06-10T14:28:31.450Z
614,6,16,1982-06-10T16:49:16.440Z
1235,19,32,1982-06-24T23:33:59.140Z
1008,20,26,1982-06-28T17:53:21.270Z
1086,22,28,1982-07-04T06:16:08.400Z
1008,20,26,1982-07-09T14:47:04.150Z
779,19,20,1982-07-12T13:35:41.800Z
